"","rbm"
"Mouse3165",5.46
"Mouse3156",11.2
"Mouse3146",9.63
"Mouse3137",13.3
"Mouse3128",9.37
"Mouse3119",13
"Mouse3096",6.44
"Mouse3055",27.1
"Mouse3045",33.3
"Mouse3166",17.4
"Mouse3157",9.18
"Mouse3147",14.8
"Mouse3138",16.6
"Mouse3129",9.98
"Mouse3120",17.9
"Mouse3097",5.54
"Mouse3056",7.29
"Mouse3046",39.4
"Mouse3167",12.1
"Mouse3158",88.3
"Mouse3149",21.3
"Mouse3139",5.13
"Mouse3130",16.9
"Mouse3121",5.09
"Mouse3098",21.7
"Mouse3081",28.6
"Mouse3047",86.1
"Mouse3168",15.7
"Mouse3159",7.33
"Mouse3150",8
"Mouse3140",19.3
"Mouse3131",50.8
"Mouse3122",4.53
"Mouse3111",11.3
"Mouse3082",13.4
"Mouse3049",8.68
"Mouse3169",77.1
"Mouse3160",4.71
"Mouse3151",51.7
"Mouse3141",12.6
"Mouse3132",43.6
"Mouse3123",16.2
"Mouse3112",14.9
"Mouse3083",11.3
"Mouse3050",37.9
"Mouse3170",45.4
"Mouse3161",35.9
"Mouse3152",6.85
"Mouse3142",97.3
"Mouse3133",40.1
"Mouse3124",10.1
"Mouse3113",36.6
"Mouse3084",12.1
"Mouse3051",52.7
"Mouse3171",31.4
"Mouse3162",25.2
"Mouse3153",6.48
"Mouse3143",17
"Mouse3134",35.2
"Mouse3125",26.4
"Mouse3114",34.5
"Mouse3093",6.74
"Mouse3052",35.1
"Mouse3172",18
"Mouse3163",57.7
"Mouse3154",4.09
"Mouse3144",24
"Mouse3135",9.7
"Mouse3126",9.95
"Mouse3117",5.42
"Mouse3094",18
"Mouse3053",8.91
"Mouse3173",6.31
"Mouse3164",67.7
"Mouse3155",9.9
"Mouse3145",82
"Mouse3136",46.4
"Mouse3127",33.3
"Mouse3118",52.2
"Mouse3095",5.44
"Mouse3054",11.2
"Mouse3246",6.82
"Mouse3237",22.6
"Mouse3228",25
"Mouse3219",3.39
"Mouse3210",24.2
"Mouse3201",4.09
"Mouse3192",52.6
"Mouse3183",9.73
"Mouse3174",53.9
"Mouse3247",53.4
"Mouse3238",46.2
"Mouse3229",43.6
"Mouse3220",50.1
"Mouse3211",17.2
"Mouse3202",5.99
"Mouse3193",50.5
"Mouse3184",6.52
"Mouse3175",64.5
"Mouse3248",9.52
"Mouse3239",45.9
"Mouse3230",12.4
"Mouse3221",4.29
"Mouse3212",56
"Mouse3203",55.4
"Mouse3194",13.9
"Mouse3185",5.95
"Mouse3176",45.8
"Mouse3249",5.52
"Mouse3240",19.9
"Mouse3231",54.7
"Mouse3222",4.57
"Mouse3213",17.6
"Mouse3204",15.9
"Mouse3195",41.7
"Mouse3186",8.9
"Mouse3177",12.6
"Mouse3250",4.45
"Mouse3241",8.53
"Mouse3232",43.1
"Mouse3223",8.84
"Mouse3214",16.4
"Mouse3205",10.8
"Mouse3196",48.5
"Mouse3187",4.69
"Mouse3178",6.69
"Mouse3251",30.8
"Mouse3242",76.9
"Mouse3233",31.5
"Mouse3224",76.5
"Mouse3215",55.9
"Mouse3206",65.5
"Mouse3197",27.5
"Mouse3188",6.34
"Mouse3179",50
"Mouse3252",17.3
"Mouse3243",23.4
"Mouse3234",67.6
"Mouse3225",63.3
"Mouse3216",42.9
"Mouse3207",17.7
"Mouse3198",5.95
"Mouse3189",83.7
"Mouse3180",21.2
"Mouse3253",6.69
"Mouse3244",12.3
"Mouse3235",68.2
"Mouse3226",71.1
"Mouse3217",26.8
"Mouse3208",58.2
"Mouse3199",34.9
"Mouse3190",40.2
"Mouse3181",6.87
"Mouse3254",8.83
"Mouse3245",26.7
"Mouse3236",48.7
"Mouse3227",61
"Mouse3218",4.39
"Mouse3209",109
"Mouse3200",12.9
"Mouse3191",71
"Mouse3182",8.64
"Mouse3327",7.79
"Mouse3318",8.18
"Mouse3309",15.3
"Mouse3300",3.69
"Mouse3291",21.4
"Mouse3282",29
"Mouse3273",15.6
"Mouse3264",58.1
"Mouse3255",22.4
"Mouse3328",33.4
"Mouse3319",3.99
"Mouse3310",14.7
"Mouse3301",6.87
"Mouse3292",4.11
"Mouse3283",10
"Mouse3274",4.19
"Mouse3265",3.61
"Mouse3256",24.3
"Mouse3329",67.3
"Mouse3320",17.3
"Mouse3311",18.1
"Mouse3302",17.4
"Mouse3293",51.5
"Mouse3284",10.1
"Mouse3275",2.83
"Mouse3266",12.5
"Mouse3257",59.6
"Mouse3330",17.3
"Mouse3321",4.27
"Mouse3312",15.6
"Mouse3303",5.22
"Mouse3294",74.6
"Mouse3285",45.4
"Mouse3276",4.99
"Mouse3267",19
"Mouse3258",19.4
"Mouse3331",3.48
"Mouse3322",35.5
"Mouse3313",5.93
"Mouse3304",10.3
"Mouse3295",54.5
"Mouse3286",57.1
"Mouse3277",4.75
"Mouse3268",15.8
"Mouse3259",41.1
"Mouse3332",15.7
"Mouse3323",15.1
"Mouse3314",34.3
"Mouse3305",20.1
"Mouse3296",17
"Mouse3287",5.82
"Mouse3278",41.8
"Mouse3269",3.44
"Mouse3260",15.7
"Mouse3333",35.6
"Mouse3324",11.4
"Mouse3315",6.7
"Mouse3306",4.21
"Mouse3297",43.6
"Mouse3288",5.79
"Mouse3279",43.7
"Mouse3270",4.32
"Mouse3261",5.97
"Mouse3334",36.9
"Mouse3325",79.1
"Mouse3316",14.5
"Mouse3307",6.94
"Mouse3298",16.9
"Mouse3289",18.7
"Mouse3280",11.2
"Mouse3271",7.07
"Mouse3262",14.3
"Mouse3335",46.9
"Mouse3326",45.4
"Mouse3317",3.7
"Mouse3308",58.7
"Mouse3299",46.5
"Mouse3290",75.7
"Mouse3281",18.3
"Mouse3272",12.6
"Mouse3263",3.55
"Mouse3412",5
"Mouse3403",23.5
"Mouse3394",18.3
"Mouse3383",47.4
"Mouse3372",105
"Mouse3363",7.07
"Mouse3354",13
"Mouse3345",8.84
"Mouse3336",24.6
"Mouse3413",13.8
"Mouse3404",21.7
"Mouse3395",29.3
"Mouse3384",32.5
"Mouse3373",23.1
"Mouse3364",13.5
"Mouse3355",12
"Mouse3346",14.8
"Mouse3337",58.3
"Mouse3414",43.7
"Mouse3405",18
"Mouse3396",11.8
"Mouse3385",4.55
"Mouse3374",36.8
"Mouse3365",4.32
"Mouse3356",19.9
"Mouse3347",5.65
"Mouse3338",4.47
"Mouse3415",13
"Mouse3406",8.4
"Mouse3397",18.6
"Mouse3386",6.01
"Mouse3375",24.2
"Mouse3366",13.2
"Mouse3357",6.83
"Mouse3348",5.72
"Mouse3339",25.8
"Mouse3416",54.6
"Mouse3407",32.8
"Mouse3398",34.4
"Mouse3387",5.51
"Mouse3376",6.7
"Mouse3367",49.3
"Mouse3358",14.3
"Mouse3349",18.7
"Mouse3340",16.4
"Mouse3419",29.1
"Mouse3408",17.1
"Mouse3399",75.2
"Mouse3388",4.88
"Mouse3377",27.2
"Mouse3368",7.86
"Mouse3359",29.7
"Mouse3350",17.1
"Mouse3341",29.6
"Mouse3420",26
"Mouse3409",24.8
"Mouse3400",14.7
"Mouse3389",90
"Mouse3378",22.8
"Mouse3369",11
"Mouse3360",38.3
"Mouse3351",16.4
"Mouse3342",4.44
"Mouse3421",14.3
"Mouse3410",66.5
"Mouse3401",22.9
"Mouse3390",23.8
"Mouse3381",21.9
"Mouse3370",19.2
"Mouse3361",23.9
"Mouse3352",15.7
"Mouse3343",11.8
"Mouse3422",14.6
"Mouse3411",16.1
"Mouse3402",19.5
"Mouse3393",30
"Mouse3382",17.4
"Mouse3371",6.58
"Mouse3362",11
"Mouse3353",25.4
"Mouse3344",27.1
"Mouse3501",34.5
"Mouse3492",77.1
"Mouse3483",10.9
"Mouse3474",21
"Mouse3465",15.7
"Mouse3454",12.8
"Mouse3443",12.6
"Mouse3434",16.5
"Mouse3425",30.1
"Mouse3502",55
"Mouse3493",12
"Mouse3484",12.3
"Mouse3475",4.72
"Mouse3466",15.6
"Mouse3455",10.6
"Mouse3444",15.2
"Mouse3435",3.9
"Mouse3426",62.2
"Mouse3503",9.95
"Mouse3494",91
"Mouse3485",7.13
"Mouse3476",17.5
"Mouse3467",32.7
"Mouse3456",10.5
"Mouse3447",12
"Mouse3436",72
"Mouse3427",55.9
"Mouse3521",18.7
"Mouse3495",6.47
"Mouse3486",31.4
"Mouse3477",36.4
"Mouse3468",8.25
"Mouse3459",42.1
"Mouse3448",11.7
"Mouse3437",6.01
"Mouse3428",11.2
"Mouse3505",14.1
"Mouse3496",49.4
"Mouse3487",51
"Mouse3478",19.1
"Mouse3469",30.8
"Mouse3460",46.4
"Mouse3449",32.7
"Mouse3438",11.6
"Mouse3429",13.3
"Mouse3506",19.6
"Mouse3497",6.9
"Mouse3488",19.2
"Mouse3479",9.22
"Mouse3470",22.4
"Mouse3461",60.3
"Mouse3450",13.1
"Mouse3439",17.8
"Mouse3430",15.4
"Mouse3507",4.78
"Mouse3498",5.24
"Mouse3489",72.1
"Mouse3480",10.9
"Mouse3471",5.04
"Mouse3462",26.9
"Mouse3451",22.4
"Mouse3440",9.38
"Mouse3431",24.1
"Mouse3508",11.8
"Mouse3499",14.6
"Mouse3490",108
"Mouse3481",24
"Mouse3472",16.6
"Mouse3463",12.6
"Mouse3452",31.8
"Mouse3441",4.09
"Mouse3432",10.1
"Mouse3509",31.3
"Mouse3500",32.6
"Mouse3491",47.9
"Mouse3482",28.7
"Mouse3473",20
"Mouse3464",14
"Mouse3453",23.7
"Mouse3442",7.93
"Mouse3433",31.6
"Mouse3591",19.5
"Mouse3582",12.4
"Mouse3571",8.77
"Mouse3562",94
"Mouse3553",4.87
"Mouse3543",22.5
"Mouse3532",16.1
"Mouse3523",17.5
"Mouse3510",47.3
"Mouse3592",79
"Mouse3583",21.2
"Mouse3572",51.6
"Mouse3563",9.51
"Mouse3554",13.2
"Mouse3544",65.1
"Mouse3535",5.28
"Mouse3524",38.4
"Mouse3513",33.6
"Mouse3593",16.8
"Mouse3584",10.7
"Mouse3573",12.3
"Mouse3564",41.8
"Mouse3555",31.3
"Mouse3545",14.3
"Mouse3536",17.8
"Mouse3525",8.57
"Mouse3514",15.7
"Mouse3594",72.1
"Mouse3585",38.6
"Mouse3574",44.9
"Mouse3565",38
"Mouse3556",34
"Mouse3546",22.6
"Mouse3537",51.5
"Mouse3526",30.3
"Mouse3515",9.01
"Mouse3595",77.4
"Mouse3586",14.5
"Mouse3577",64
"Mouse3566",14.5
"Mouse3557",14
"Mouse3548",23.7
"Mouse3538",25.3
"Mouse3527",22.8
"Mouse3516",15.6
"Mouse3596",64.2
"Mouse3587",4.46
"Mouse3578",59.2
"Mouse3567",24.3
"Mouse3558",18.6
"Mouse3549",57
"Mouse3539",43.2
"Mouse3528",14.9
"Mouse3517",12
"Mouse3588",7.88
"Mouse3579",10.8
"Mouse3568",8.95
"Mouse3559",58
"Mouse3550",23.2
"Mouse3540",29.7
"Mouse3529",7.18
"Mouse3518",12.2
"Mouse3598",11.2
"Mouse3589",42.6
"Mouse3580",24.2
"Mouse3569",15
"Mouse3560",11.1
"Mouse3551",7.01
"Mouse3541",20.3
"Mouse3530",15.1
"Mouse3519",3.72
"Mouse3599",61.3
"Mouse3590",6.75
"Mouse3581",16.9
"Mouse3570",76.4
"Mouse3561",25.5
"Mouse3552",15.9
"Mouse3542",4.98
"Mouse3531",9.05
"Mouse3520",20.9
"Mouse3666",2.27
"Mouse3656",69.1
"Mouse3647",48.8
"Mouse3636",18.6
"Mouse3627",22.6
"Mouse3618",14.9
"Mouse3609",30
"Mouse3600",33.6
"Mouse3667",9.72
"Mouse3658",38.2
"Mouse3648",63.5
"Mouse3637",10.3
"Mouse3628",19.9
"Mouse3619",11.4
"Mouse3610",50
"Mouse3601",11.4
"Mouse3668",20.1
"Mouse3659",22.1
"Mouse3649",9.59
"Mouse3638",19.9
"Mouse3629",27.6
"Mouse3620",66.4
"Mouse3611",11.2
"Mouse3602",7.29
"Mouse3669",3.19
"Mouse3660",82.1
"Mouse3650",17.4
"Mouse3641",63.4
"Mouse3630",8.69
"Mouse3621",4.81
"Mouse3612",20.3
"Mouse3603",1.9
"Mouse3670",16.9
"Mouse3661",12
"Mouse3651",2.96
"Mouse3642",32.6
"Mouse3631",18.4
"Mouse3622",7.84
"Mouse3613",18.9
"Mouse3604",6.02
"Mouse3662",47.6
"Mouse3652",12
"Mouse3643",49.4
"Mouse3632",44.6
"Mouse3623",19.1
"Mouse3614",57.1
"Mouse3605",17.4
"Mouse3663",5.82
"Mouse3653",42
"Mouse3644",14.2
"Mouse3633",36.9
"Mouse3624",10.8
"Mouse3615",23.9
"Mouse3606",41.6
"Mouse3664",9.02
"Mouse3654",70.6
"Mouse3645",70.4
"Mouse3634",14.6
"Mouse3625",50
"Mouse3616",6.16
"Mouse3607",63.3
"Mouse3665",7.1
"Mouse3655",68.2
"Mouse3646",87.1
"Mouse3635",17.6
"Mouse3626",17
"Mouse3617",45.9
"Mouse3608",36.9
